gb_id,title_word_count,has_subtitle,is_series,log_pages,pub_decade,genre_fiction,genre_fantasy,genre_romance,genre_contemporary,genre_young_adult,genre_mystery,genre_thriller,genre_historical_fiction,genre_nonfiction,genre_classics,genre_crime,genre_suspense,genre_science_fiction,genre_paranormal,genre_chick_lit,genre_horror,genre_biography,genre_history,genre_books,genre_memoir,genre_count,author_prior_nyt_count,years_since_last_pub,is_debut,num_credits,has_multiple_credits,description_word_count
0,3,False,True,5.926926025970411,2000,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5,0,1.0,False,1,False,147
1,6,False,True,5.736572297479192,1990,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4,0,,True,2,True,220
2,1,False,True,6.218600119691729,2000,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5,0,,True,1,False,55
3,4,False,False,5.783825182329737,1960,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,4,0,,True,1,False,137
5,5,False,False,5.749392985908253,2010,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,0,4.0,False,1,False,83
6,2,False,False,5.905361848054571,1930,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4,0,,True,1,False,147
7,5,False,False,5.627621113690637,1950,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3,0,,True,1,False,274
8,3,False,True,6.602587892189336,2000,True,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,6,0,2.0,False,1,False,101
10,3,False,False,5.918893854273146,2000,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,4,0,,True,1,False,108
11,1,False,True,6.1903154058531475,2010,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5,0,,True,1,False,216
12,6,False,False,5.648974238161206,1940,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,5,0,,True,3,True,166
13,6,False,True,6.144185634125646,2000,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,6,0,,True,2,True,101
14,2,False,True,5.971261839790462,2000,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5,0,1.0,False,1,False,169
15,7,False,True,6.077642243349034,1990,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4,0,,True,3,True,201
16,1,False,True,5.968707559985366,2010,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5,0,1.0,False,1,False,96
17,8,False,True,6.769641976852503,2000,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4,2,3.0,False,2,True,136
18,3,False,False,5.921578419643816,2000,True,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,6,1,3.0,False,1,False,98
19,7,False,True,5.834810737062605,1990,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4,1,1.0,False,2,True,140
20,7,False,True,6.5998704992128365,2000,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4,2,1.0,False,2,True,117
21,6,False,True,6.633318433280377,2000,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4,2,2.0,False,2,True,91
22,4,False,True,6.194405391104672,2000,True,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,6,0,2.0,False,1,False,140
23,6,False,True,6.481577129276431,2000,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4,2,2.0,False,2,True,147
24,4,False,False,5.209486152841421,1950,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3,0,,True,1,False,133
26,2,False,False,6.030685260261263,2010,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,6,0,3.0,False,1,False,292
27,2,False,False,6.113682179832232,2000,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,5,0,,True,1,False,304
